Session ID,Title,Day,Date,Theatre,Start Time,End Time,OLDCategories,Categories,Description,Speaker 1 Name,Speaker 1 Job Title,Speaker 1 Company,Speaker 1 Profile URL,Speaker 2 Name,Speaker 2 Job Title,Speaker 2 Company,Speaker 2 Profile URL,Speaker 3 Name,Speaker 3 Job Title,Speaker 3 Company,Speaker 3 Profile URL,Speaker 4 Name,Speaker 4 Job Title,Speaker 4 Company,Speaker 4 Profile URL,Speaker 5 Name,Speaker 5 Job Title,Speaker 5 Company,Speaker 5 Profile URL,Session URL,Manual Ranking Bump
36415,"Deepfakes, data breaches and delusions: The AI risks you need to know about",Day 1,13-May-26,Theatre 1 - FD Show 1,13:20,14:00,"AI, AI & Automation, Cyber Security, Practice Management","AI & Automation, Cyber Security","How easy is it to swindle an FD out of their company's money? Jake Moore did it with a bit of research and an AI voice generator. AI has given scammers powerful tools for fooling the unwary accountant or finance team. Add to that the danger of exposing confidential data  plus AI's ability to make things up  and you have a new area of risk to contend with. Jake, Global Cybersecurity Advisor at ESET and a former police digital forensics expert, joins Olivia McMillan, COO of cloud accounting provider iplicit, to help you learn about AI risks before the hackers beat you to it. You may never trust a voice memo again.",Olivia McMillan,Chief Operating Officer,iplicit,https://www.accountex.co.uk/london/speakers/olivia-mcmillan/,Jake Moore,Global Cybersecurity Advisor,ESET,https://www.accountex.co.uk/london/speakers/jake-moore/,,,,,,,,,,,,,https://www.accountex.co.uk/london/sessions/deepfakes-data-breaches-and-delusions-the-ai-risks-you-need-to-know-about/,FALSE
36326,Beyond the numbers: FDs shaping strategic business direction,Day 1,13-May-26,Theatre 1 - FD Show 1,14:20,15:00,"Scaling / Practice Growth, Data & Analytics","HR & Leadership, Data & Analytics, CFO","A panel discussion covering the role of the FD in supporting, challenging and shaping the strategic direction of their organisation. Using data, metrics and a wider world view, helping organisations make the most effective strategic steps for resilience and growth.",Claire Long,Director of Finance,Muckle LLP,https://www.accountex.co.uk/london/speakers/claire-long/,Nevil Tynemouth,"Executive Coach, Author, Facilitator and International Speaker",New Results,https://www.accountex.co.uk/london/speakers/nevil-tynemouth/,Hannah Pollard,Finance Director,Fairstone Group,https://www.accountex.co.uk/london/speakers/hannah-pollard/,Sara Vening,Fractional FD & Coach,Sara Vening Consulting Ltd,https://www.accountex.co.uk/london/speakers/sara-vening/,,,,,https://www.accountex.co.uk/london/sessions/beyond-the-numbers-fds-shaping-strategic-business-direction/,FALSE
36416,E-invoicing is coming: How finance teams can prepare now,Day 1,13-May-26,Theatre 1 - FD Show 1,15:20,16:00,"E Invoicing, Data & Analytics, Banking & Payments, Practice Management","Banking & Payments, Regulation & Legislation","E-invoicing is expected in the UK by 2029, and the shift towards real-time digital reporting is accelerating globally. For finance teams, this is more than a compliance update  it will fundamentally reshape invoicing processes, ERP integration, reporting and internal controls. This session examines why governments are driving adoption, the operational and cash flow implications for organisations, lessons from international markets, and the practical steps finance leaders can take now to assess readiness, engage stakeholders, and plan a controlled, cost-effective transition.",Mohammed Sidat,Associate Product Director,Wolters Kluwer,https://www.accountex.co.uk/london/speakers/mohammed-sidat/,,,,,,,,,,,,,,,,,https://www.accountex.co.uk/london/sessions/e-invoicing-is-coming-how-finance-teams-can-prepare-now/,FALSE
36298,Impress the board: What any top CFO or finance leader needs to know,Day 1,13-May-26,Theatre 1 - FD Show 1,16:20,17:00,How To Influence Up / How To Sell Yourself,"HR & Leadership, CFO","Modern boards expect more than accurate numbers; they want finance leaders who communicate with clarity, challenge constructively, and steer strategic decisions. In this interactive panel, Suezann Holmes interviews 23 experienced NEDs to reveal what really stands out in board packs, reports, and live discussions. You will learn how to translate complex financials into board-ready narratives, avoid common engagement pitfalls, and use data-driven storytelling to build credibility, influence outcomes, and strengthen long-term board relationships as a modern finance leader.",Suezann Holmes,Founder & CEO,ScaleXP,https://www.accountex.co.uk/london/speakers/suezann-holmes/,,,,,,,,,,,,,,,,,https://www.accountex.co.uk/london/sessions/impress-the-board-what-any-top-cfo-or-finance-leader-needs-to-know/,FALSE
36405,From back office to brand asset: Why payment behaviour is now a CFO's reputation play,Day 1,13-May-26,Theatre 1 - FD Show 1,17:20,18:00,"Regulation & Legislation, Banking & Payments, Marketing & Growth","Regulation & Legislation, Banking & Payments, CFO","As the UK introduces the toughest late-payment rules in the G7, how companies pay their suppliers is becoming a public measure of trust and credibility. In this session, Terry Corby, Founder of Good Business Pays, explains how payment behaviour has moved from a back-office process to a board-level reputational issue  and how Finance Directors can use it to attract better suppliers, strengthen customer confidence, reduce risk and turn compliance into a competitive advantage.",Terry Corby,Founder & CEO,Good Business Pays,https://www.accountex.co.uk/london/speakers/terry-corby/,,,,,,,,,,,,,,,,,https://www.accountex.co.uk/london/sessions/from-back-office-to-brand-asset-why-payment-behaviour-is-now-a-cfos-reputation-play/,FALSE
37114,The UK economy is stalling: How accountants can help our clients save it,Day 1,13-May-26,Theatre 10 - App Advisory,10:20,11:00,"Market Overview & Insight, Payroll",Market Overview & Insight,"The UK economy has stalled. Clients are being squeezed by the cost of living crisis, rising wages and higher taxes and are facing tougher challenges than during Covid. So what can accountants do now? Will Farnell explores how better client conversations create clarity - not just for the business, but for the ambitions of the business owner. Joined by Richard Bertin (All In Place), sharing practical steps to tackle today's economic pressures and maximise your impact at Accountex.",Richard Bertin,Founder and CEO,All in Place,https://www.accountex.co.uk/london/speakers/richard-bertin/,Lucy Cohen,CEO and AAT President,Mazuma,https://www.accountex.co.uk/london/speakers/lucy-cohen/,Will Farnell,Co-founder of App Advisory Plus and Founder & Partner at TC Group (Farnell Clarke),App Advisory Plus / TC Group Farnell Clarke,https://www.accountex.co.uk/london/speakers/will-farnell/,,,,,,,,,https://www.accountex.co.uk/london/sessions/the-uk-economy-is-stalling-how-accountants-can-help-our-clients-save-it/,FALSE
37115,AI isn't coming  It's already billing hours,Day 1,13-May-26,Theatre 10 - App Advisory,11:20,12:00,"Advisory, AI & Automation, Data & Analytics, Practice Management","Practice Management, Data & Analytics, AI & Automation, Advisory","Artificial intelligence is no longer a future concept in accounting - it is reshaping how work is delivered, priced and valued. From automated bookkeeping to smarter reporting and faster communication, AI is changing day-to-day practice. This session cuts through the hype to show where AI delivers real value today. Using practical examples, it explores time savings, accuracy gains and workflow shifts and what this means for pricing and advisory. It also covers governance, risk and data security, helping firms adopt AI responsibly and profitably.",Ian Pay,Head of Data Analytics & Tech,ICAEW,https://www.accountex.co.uk/london/speakers/ian-pay/,Stephen Edginton,Chief Product and Technology Officer (CPTO),Dext,https://www.accountex.co.uk/london/speakers/stephen-edginton/,Paul Lodder,VP: Product Strategy and Accounting expertise,Dext,https://www.accountex.co.uk/london/speakers/paul-lodder-2/,Will Farnell,Co-founder of App Advisory Plus and Founder & Partner at TC Group (Farnell Clarke),App Advisory Plus / TC Group Farnell Clarke,https://www.accountex.co.uk/london/speakers/will-farnell/,,,,,https://www.accountex.co.uk/london/sessions/ai-isnt-coming-its-already-billing-hours/,FALSE
37117,Workforce trends for 2026: The future of work,Day 1,13-May-26,Theatre 10 - App Advisory,12:20,13:00,"Market Overview & Insight, AI & Automation, Payroll, HR & People","Market Overview & Insight, AI & Automation, HR & Leadership","The world of work is transforming fast. AI and automation are reshaping roles, while SMEs face mounting pressure around hiring, retention and rising people costs. For accounting firms, this isn't just an HR issue - it's a strategic advisory opportunity. In this thought-leadership session, App Advisory Plus and Employment Hero explore the workforce trends shaping 2026 and what they mean for profitability and resilience. Discover how firms can help clients reset processes, rethink workforce design and move beyond payroll compliance into strategic workforce advisory.",Ryan Pearcy,"Digital Transformation Specialist, Accountant and Co-founder of Digital Disruptors",Digital Disruptors,https://www.accountex.co.uk/london/speakers/ryan-pearcy/,Paula Harwood,Client HR Consultant / Marketing & Content Lead,TC Group Farnell Clarke / App Advisory Plus,https://www.accountex.co.uk/london/speakers/paula-harwood/,Kevin Fitzgerald,"Managing Director, UK",Employment Hero,https://www.accountex.co.uk/london/speakers/kevin-fitzgerald/,Tamryn Dicks,Business Advisory & Mentor,Human Edge and Pharsyde Solutions Ltd,https://www.accountex.co.uk/london/speakers/tamryn-dicks/,,,,,https://www.accountex.co.uk/london/sessions/workforce-trends-for-2026-the-future-of-work/,FALSE
37119,Adopting AI in your firm: A practical guide to AI,Day 1,13-May-26,Theatre 10 - App Advisory,13:20,14:00,"AI, Tax & MTD, AI & Automation, Practice Management","Practice Management, AI & Automation, Tax & MTD","AI is moving faster than most firms can keep up - but you don't need to be an expert to harness it. This energising session guides you from exploration to integration using a practical three-phase framework: individual experimentation, team adoption and operational embedding. Discover how to automate emails, meeting notes, variance analysis and SOPs while building confidence across your firm. Packed with real examples and ready-to-use ideas, you'll leave with clear next steps to save time, elevate advisory and embed AI without overwhelm.",Rowan Van Tromp,Senior Production Manager,Karbon,https://www.accountex.co.uk/london/speakers/rowan-van-tromp/,Mary Delaney,CEO,Karbon,https://www.accountex.co.uk/london/speakers/mary-delaney/,Frances Kay,Co-Founder App Advisory Plus and Partner of TC Group (Farnell Clarke),App Advisory Plus / TC Group (Farnell Clarke),https://www.accountex.co.uk/london/speakers/frances-kay-2/,,,,,,,,,https://www.accountex.co.uk/london/sessions/adopting-ai-in-your-firm-a-practical-guide-to-ai/,FALSE
37110,Building practical AI agents with Zapier,Day 1,13-May-26,Theatre 10 - App Advisory,14:20,15:00,"AI, AI & Automation, Practice Management","Practice Management, AI & Automation","In this session, Kelly Goss demystifies AI agents and shows how to use Zapier to build practical, business-ready automations across finance, operations and client services. You'll learn the basics of Zapier, what AI agents really are (and aren't), and where they add value beyond simple workflows. Through real accounting and advisory use cases  from client onboarding to internal knowledge agents  discover how to move from idea to implementation without coding or replacing your tech stack.",Kelly Goss,Chief Problem Solver,Solvaa,https://www.accountex.co.uk/london/speakers/kelly-goss/,,,,,,,,,,,,,,,,,https://www.accountex.co.uk/london/sessions/building-practical-ai-agents-with-zapier/,FALSE
37113,"The future-ready firm: Building an advisory-led practice that attracts better clients, better talent, and better margins",Day 1,13-May-26,Theatre 10 - App Advisory,15:20,16:00,"Advisory, HR & People, Practice Management","Practice Management, HR & Leadership, Advisory","The accounting profession is evolving fast, and the firms thriving today are those embracing an advisory-led model built on purpose, people, and technology. Will and Richard will explore how forward-thinking firms are reshaping their practices. They'll discuss why advisory is becoming essential, how purpose-driven firms attract better clients and talent, and how aligning people, process, and technology helps deliver scalable, high-value services. Discover what successful firms are doing today to future-proof their business and deliver extreme value.",Will Farnell,Co-founder of App Advisory Plus and Founder & Partner at TC Group (Farnell Clarke),App Advisory Plus / TC Group Farnell Clarke,https://www.accountex.co.uk/london/speakers/will-farnell/,Richard Francis,Founder & CEO,Spotlight Reporting,https://www.accountex.co.uk/london/speakers/richard-francis/,,,,,,,,,,,,,https://www.accountex.co.uk/london/sessions/the-future-ready-firm-building-an-advisory-led-practice-that-attracts-better-clients-better-talent-and-better-margins/,FALSE
37074,"40 years of wins, failures and lessons learned",Day 1,13-May-26,Theatre 10 - App Advisory,16:20,17:00,"Motivation / Leadership / Mindset, Tax & MTD, Data & Analytics, HR & People","HR & Leadership, Data & Analytics, Tax & MTD","With a combined 40 years' experience building innovation-led accounting firms, Will and Lucy have seen it all. In this candid fireside chat, they share the highs, lows and hard-earned lessons from two decades of tech evolution and people leadership. Reflecting on what's changed - and what lies ahead - this session promises honest insight, practical learning and plenty of real-world perspective.",Lucy Cohen,CEO and AAT President,Mazuma,https://www.accountex.co.uk/london/speakers/lucy-cohen/,Will Farnell,Co-founder of App Advisory Plus and Founder & Partner at TC Group (Farnell Clarke),App Advisory Plus / TC Group Farnell Clarke,https://www.accountex.co.uk/london/speakers/will-farnell/,,,,,,,,,,,,,https://www.accountex.co.uk/london/sessions/40-years-of-wins-failures-and-lessons-learned/,FALSE
37111,The firm of 2030: What needs to change now,Day 1,13-May-26,Theatre 10 - App Advisory,17:20,18:00,"Market Overview & Insight, AI & Automation, Data & Analytics, HR & People, Practice Management","Market Overview & Insight, Practice Management, Data & Analytics, AI & Automation, HR & Leadership","The accounting firm of 2030 will look very different. AI, advisory evolution, new pricing models, talent shortages and rising client expectations are reshaping the profession. This forward-looking session gives firm leaders practical insight into the changes they must embrace now to stay relevant, profitable and competitive. As day one draws to a close, join us for a drink and a lively, interactive discussion on the strategic decisions and priorities needed to build a future-ready, resilient firm.",Ryan Pearcy,"Digital Transformation Specialist, Accountant and Co-founder of Digital Disruptors",Digital Disruptors,https://www.accountex.co.uk/london/speakers/ryan-pearcy/,Will Farnell,Co-founder of App Advisory Plus and Founder & Partner at TC Group (Farnell Clarke),App Advisory Plus / TC Group Farnell Clarke,https://www.accountex.co.uk/london/speakers/will-farnell/,Indi Tatla,Podcaster,Digital Disruptors,https://www.accountex.co.uk/london/speakers/indi-tatla/,,,,,,,,,https://www.accountex.co.uk/london/sessions/the-firm-of-2030-what-needs-to-change-now/,FALSE
36389,How to build an AI-native accounting Firm,Day 1,13-May-26,Theatre 11 - AI,10:20,11:00,"AI, AI & Automation, CRM & Comms, Practice Management","Practice Management, AI & Automation, Marketing & Growth","AI-native firms are being built differently from the ground up. In this session, Briefcase founder Reuben Steenkamp and Flexal founder Rob Collings share what it really looks like to design an AI-first accounting business while keeping client experience at the centre. They'll cover three levels of adoption: firms who've never really used AI, firms who are dabbling but unsure what to do next, and firms with in-house developers. You'll leave with practical ideas for where you are on that spectrum, plus a concrete AI workflow you can try in your firm the very next day.",Reuben Steenkamp,CEO & Co-Founder,Briefcase,https://www.accountex.co.uk/london/speakers/reuben-steenkamp/,Rob Collings,Co-Founder,Flexal,https://www.accountex.co.uk/london/speakers/rob-collings/,,,,,,,,,,,,,https://www.accountex.co.uk/london/sessions/how-to-build-an-ai-native-accounting-firm/,FALSE
36401,Before you buy AI: The questions every accountant should ask their software supplier,Day 1,13-May-26,Theatre 11 - AI,11:20,12:00,"AI, AI & Automation, Practice Management","Practice Management, AI & Automation","AI is transforming accounting software, but not all solutions deliver real value. In this session, Ben Bishop guides accountants through the essential questions to ask before adopting AI, including data security, transparency, ethics, testing, reliability, and whether the vendor truly understands the accounting industry, its workflows, and regulatory requirements. Discover how to cut through the hype, protect client trust, evaluate functionality, ensure compliance, and make certain any AI tool delivers measurable, practical, and sustainable benefits safely and effectively for your practice.",Ben Bishop,Chief Product & Technology Officer,Bright Software Group,https://www.accountex.co.uk/london/speakers/ben-bishop/,,,,,,,,,,,,,,,,,https://www.accountex.co.uk/london/sessions/before-you-buy-ai-the-questions-every-accountant-should-ask-their-software-supplier/,FALSE
37306,What happens to the value of relationships when your client is AI?,Day 1,13-May-26,Theatre 11 - AI,12:20,13:00,"AI, Tax & MTD, AI & Automation, Practice Management","Practice Management, AI & Automation, Tax & MTD","As artificial intelligence takes on an increasingly active role in business operations, a provocative new question is emerging for accounting professionals: when your client is no longer a person but an AI system, what becomes of the relationship that has always sat at the heart of great client service? This session explores how the rise of AI-driven businesses and autonomous systems is challenging traditional notions of trust, communication, and value in the client-adviser dynamic. We'll examine whether the skills that have long defined exceptional accountants - empathy, judgement, and the ability to build lasting human connections - remain relevant in a world where decisions are increasingly made by algorithms, and what new forms of value professionals must cultivate to stay indispensable in an AI-first economy.",Alastair Barlow,Mergers & Acquisitions,flinder,https://www.accountex.co.uk/london/speakers/alastair-barlow/,Stuart Mcleod,CEOC & Co-Founder,Archie,https://www.accountex.co.uk/london/speakers/stuart-mcleod/,Des ONeill,Founder and OmniPro Group CEO,ProfitPro,https://www.accountex.co.uk/london/speakers/des-oneill/,Emily Dear,Global Digitalisation Manager,Moore Global,https://www.accountex.co.uk/london/speakers/emily-dear/,,,,,https://www.accountex.co.uk/london/sessions/what-happens-to-the-value-of-relationships-when-your-client-is-ai/,FALSE
36414,"AI in practice: what's working, what's not, and what to prioritise",Day 1,13-May-26,Theatre 11 - AI,13:20,14:00,"AI, AI & Automation",AI & Automation,"AI is firmly on the agenda for accountancy practices, but separating meaningful impact from hype remains a challenge. This session explores where AI is already delivering measurable value  improving efficiency, enhancing client service and supporting advisory growth  and where adoption is proving slower or less commercially viable. Delegates will gain a practical framework to assess opportunities, manage risk responsibly and prioritise AI investment based on strategic value rather than noise.",Stephen Leonard,Partner,Winders,https://www.accountex.co.uk/london/speakers/stephen-leonard/,Linsey Tait,"Tax Technology Director, Tax Technical & Support - Grant Thornton UK LLP",Grant Thornton UK LLP,https://www.accountex.co.uk/london/speakers/linsey-tait/,Rachel Armstrong,"Senior Manager, Client Solutions Development",Crowe U.K. LLP,https://www.accountex.co.uk/london/speakers/rachel-armstrong/,Mohammed Sidat,Associate Product Director,Wolters Kluwer,https://www.accountex.co.uk/london/speakers/mohammed-sidat/,,,,,https://www.accountex.co.uk/london/sessions/ai-in-practice-whats-working-whats-not-and-what-to-prioritise/,FALSE
36291,Is AI recommending your business?,Day 1,13-May-26,Theatre 11 - AI,14:20,15:00,"AI, AI & Automation","AI & Automation, Marketing & Growth","Your next client won't Google you, they'll ask ChatGPT. And unless you're feeding the right signals into the algorithm, you won't even be considered. Over 77% of ChatGPT users already use it instead of search engines. It's not showing ads. It's not showing who's shouting the loudest. It's showing who looks the most credible online. What you'll learn: 1) How AI search actually works (without the jargon) 2) Which trust signals matter and how to improve them 3) Why your competitors are being recommended and you're not Because if AI can't find you, your next client won't either.",Callum Macrae,Marketing Director,JE Consulting,https://www.accountex.co.uk/london/speakers/callum-macrae/,,,,,,,,,,,,,,,,,https://www.accountex.co.uk/london/sessions/is-ai-recommending-your-business/,FALSE
36396,From automation to AI: How we built a digitally scalable advisory firm,Day 1,13-May-26,Theatre 11 - AI,15:20,16:00,"AI, AI & Automation, Data & Analytics, Practice Management","Practice Management, Data & Analytics, AI & Automation","This session shares how Roesgaard has implemented integrations, automation, RPA, app-based workflows and generative AI to transform daily operations and client delivery. Attendees will gain practical insight into how APIs, AI tools and supplier collaborations can eliminate manual work, improve quality and free up time for advisory services. The session focuses on real-world implementation, governance and the business impact of modern technology in an accounting firm.",Jesper Esman Andersen,Head of Business Development,Roesgaard,https://www.accountex.co.uk/london/speakers/jesper-esman-andersen/,,,,,,,,,,,,,,,,,https://www.accountex.co.uk/london/sessions/from-automation-to-ai-how-we-built-a-digitally-scalable-advisory-firm/,FALSE
